"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"15,Mid-American Conference,12,195,197,.497,-1.56,-0.91,0,1,0,Akron (East) Eastern Michigan (West),Ohio"
"16,Sun Belt Conference,12,177,197,.473,-2.26,-0.88,0,1,0,Middle Tennessee (East) Little Rock (West),Western Kentucky"
"17,Ivy Group,8,125,119,.512,-2.42,-2.08,0,1,0,Harvard,"
"18,Atlantic Sun Conference,10,156,167,.483,-2.54,-1.03,0,1,0,Belmont,Belmont"
"19,Summit League,10,168,153,.523,-2.72,-1.94,0,1,0,Oral Roberts,South Dakota State"
"20,Metro Atlantic Athletic Conference,10,157,169,.482,-4.10,-2.85,0,2,0,Iona,Loyola (MD)"
"21,Big West Conference,9,133,148,.473,-4.29,-2.33,0,1,0,Long Beach State,Long Beach State"
"22,Southern Conference,12,179,200,.472,-5.83,-3.13,0,1,0,North Carolina-Greensboro (North) Davidson (South),Davidson"
"23,Patriot League,8,123,128,.490,-6.16,-4.75,0,1,0,Bucknell,Lehigh"
"24,Big Sky Conference,9,127,145,.467,-6.20,-3.69,0,1,0,Montana,Montana"
"25,Big South Conference,11,167,182,.479,-6.22,-4.25,0,1,0,North Carolina-Asheville,North Carolina-Asheville"
"26,Ohio Valley Conference,11,172,175,.496,-6.30,-4.05,1,1,0,Murray State,Murray State"
"27,Southland Conference,12,180,197,.477,-7.31,-4.47,0,1,0,Lamar (East) Texas-Arlington (West),Lamar"
"28,Northeast Conference,12,167,207,.447,-7.42,-4.99,0,1,0,Long Island University,Long Island University"
"29,America East Conference,9,121,163,.426,-8.80,-6.12,0,1,0,Stony Brook,Vermont"
"30,Independent,3,38,51,.427,-10.60,-4.13,0,0,0,,"
"31,Mid-Eastern Athletic Conference,13,176,238,.425,-10.63,-6.05,0,1,0,Savannah State,Norfolk State"
"32,Great West Conference,6,77,112,.407,-12.73,-5.90,0,0,0,Utah Valley,North Dakota"
"33,Southwest Athletic Conference,10,118,195,.377,-16.71,-9.40,0,1,0,Mississippi Valley State,Mississippi Valley State"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big Ten Conference,11,224,146,.605,14.63,9.56,3,7,0,Ohio State,Ohio State"
"2,Big East Conference,16,331,210,.612,13.27,8.59,7,11,1,Pittsburgh,Connecticut"
"3,Big 12 Conference,12,257,149,.633,12.00,6.30,4,5,0,Kansas,Kansas"
"4,Atlantic Coast Conference,12,241,163,.597,11.23,6.82,2,4,0,North Carolina,Duke"
"5,Pacific-10 Conference,10,195,146,.572,10.07,7.19,2,4,0,Arizona,Washington"
"6,Southeastern Conference,12,237,165,.590,8.57,5.23,3,5,1,Florida (East) Alabama (West),Kentucky"
"7,Mountain West Conference,9,181,120,.601,8.16,5.07,2,3,0,Brigham Young San Diego State,San Diego State"
"8,Conference USA,12,233,160,.593,4.39,1.88,0,2,0,Alabama-Birmingham,Memphis"
"9,Atlantic 10 Conference,14,243,209,.538,3.15,2.37,1,3,0,Xavier,Richmond"
"10,West Coast Conference,8,142,126,.530,2.64,2.17,0,1,0,Gonzaga Saint Mary's (CA),Gonzaga"
"11,Missouri Valley Conference,10,184,153,.546,2.32,1.45,0,1,0,Missouri State,Indiana State"
"12,Horizon League,10,179,153,.539,1.87,1.73,0,1,1,Butler Cleveland State Milwaukee,Butler"
"13,Western Athletic Conference,9,161,133,.548,1.56,0.34,1,1,0,Utah State,Utah State"
"14,Colonial Athletic Association,12,209,182,.535,0.81,0.47,0,3,1,George Mason,Old Dominion"
"15,Big West Conference,9,131,152,.463,-2.98,-1.28,0,1,0,Long Beach State,UC-Santa Barbara"
"16,Mid-American Conference,12,189,209,.475,-3.29,-1.48,0,1,0,Kent State (East) Western Michigan (West),Akron"
"17,Ivy Group,8,117,113,.509,-3.53,-2.64,0,1,0,Harvard Princeton,"
"18,Metro Atlantic Athletic Conference,10,157,168,.483,-3.60,-2.53,0,1,0,Fairfield,Saint Peter's"
"19,Atlantic Sun Conference,11,164,189,.465,-4.70,-2.65,0,1,0,Belmont,Belmont"
"20,Summit League,10,149,164,.476,-4.81,-2.98,0,1,0,Oakland,Oakland"
"21,Big Sky Conference,9,132,144,.478,-5.05,-2.89,0,1,0,Northern Colorado,Northern Colorado"
"22,Southern Conference,12,185,205,.474,-5.14,-2.54,0,1,0,Chattanooga (North) Western Carolina (North) College of Charleston (South) Wofford (South),Wofford"
"23,Sun Belt Conference,12,176,198,.471,-5.88,-3.65,0,1,0,Florida Atlantic (East) Arkansas State (West) Louisiana (West),Little Rock"
"24,Ohio Valley Conference,10,153,166,.480,-6.46,-4.94,0,1,0,Murray State,Morehead State"
"25,Big South Conference,10,155,161,.491,-6.49,-3.87,0,1,0,Coastal Carolina,North Carolina-Asheville"
"26,Northeast Conference,12,168,200,.457,-6.72,-4.68,0,1,0,Long Island University,Long Island University"
"27,Patriot League,8,113,135,.456,-6.95,-5.14,0,1,0,Bucknell,Bucknell"
"28,Southland Conference,12,181,186,.493,-7.76,-5.22,0,1,0,McNeese State (East) Sam Houston State (West) Texas State (West),Texas-San Antonio"
"29,America East Conference,9,126,157,.445,-8.17,-5.41,0,1,0,Vermont,Boston University"
"30,Mid-Eastern Athletic Conference,11,151,196,.435,-12.83,-7.66,0,1,0,Bethune-Cookman,Hampton"
"31,Independent,6,67,112,.374,-13.53,-3.71,0,0,0,,"
"32,Great West Conference,7,88,133,.398,-15.02,-8.40,0,0,0,Utah Valley,North Dakota"
"33,Southwest Athletic Conference,10,116,197,.371,-16.98,-9.41,0,1,0,Texas Southern,Alabama State"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,12,260,146,.640,13.62,8.00,4,7,0,Kansas,Kansas"
"2,Atlantic Coast Conference,12,260,146,.640,13.24,7.76,2,6,1,Duke Maryland,Duke"
"3,Big East Conference,16,327,210,.609,12.01,7.85,5,8,1,Syracuse,West Virginia"
"4,Big Ten Conference,11,218,155,.584,11.38,7.92,4,5,1,Michigan State Ohio State Purdue,Ohio State"
"5,Southeastern Conference,12,242,160,.602,10.71,6.47,3,4,0,Kentucky (East) Mississippi State (West),Kentucky"
"6,Pacific-10 Conference,10,178,146,.549,8.81,6.69,0,2,0,University of California,Washington"
"7,Mountain West Conference,9,173,123,.584,5.68,3.84,2,4,0,New Mexico,San Diego State"
"8,Atlantic 10 Conference,14,258,202,.561,4.17,3.21,3,3,0,Temple Xavier,Temple"
"9,Missouri Valley Conference,10,190,139,.578,4.12,2.46,0,1,0,Northern Iowa,Northern Iowa"
"10,Conference USA,12,216,178,.548,4.05,2.64,0,2,0,Texas-El Paso,Houston"
"11,Western Athletic Conference,9,163,132,.553,1.88,0.96,0,2,0,Utah State,New Mexico State"
"12,West Coast Conference,8,135,124,.521,1.25,2.10,1,2,0,Gonzaga,Saint Mary's (CA)"
"13,Horizon League,10,176,152,.537,0.29,0.93,1,1,1,Butler,Butler"
"14,Colonial Athletic Association,12,199,195,.505,0.23,0.42,0,1,0,Old Dominion,Old Dominion"
"15,Mid-American Conference,12,195,190,.506,-2.25,-1.27,0,1,0,Akron (East) Kent State (East) Eastern Michigan (West),Ohio"
"16,Metro Atlantic Athletic Conference,10,162,156,.509,-2.72,-2.91,0,1,0,Siena,Siena"
"17,Big West Conference,9,139,146,.488,-3.89,-1.67,0,1,0,Pacific UC-Santa Barbara,UC-Santa Barbara"
"18,Big Sky Conference,9,134,140,.489,-4.35,-2.01,0,1,0,Weber State,Montana"
"19,Southern Conference,12,191,201,.487,-4.63,-2.50,0,1,0,Appalachian State (North) Wofford (South),Wofford"
"20,Atlantic Sun Conference,9,144,141,.505,-5.41,-2.71,0,1,0,Belmont Campbell Jacksonville Lipscomb,East Tennessee State"
"21,Ohio Valley Conference,10,157,163,.491,-5.80,-3.33,0,1,0,Murray State,Murray State"
"22,Sun Belt Conference,13,199,212,.484,-5.85,-3.73,0,1,0,Middle Tennessee (East) Troy (East) North Texas (West),North Texas"
"23,Southland Conference,11,179,161,.526,-6.54,-4.35,0,1,0,Stephen F. Austin (East) Sam Houston State (West),Sam Houston State"
"24,Ivy Group,8,117,123,.488,-6.73,-4.33,0,1,0,Cornell,"
"25,America East Conference,9,132,153,.463,-8.18,-5.80,0,1,0,Stony Brook,Vermont"
"26,Summit League,10,152,160,.487,-8.42,-4.68,0,1,0,Oakland,Oakland"
"27,Patriot League,8,112,134,.455,-8.90,-7.31,0,1,0,Lehigh,Lehigh"
"28,Northeast Conference,11,152,190,.444,-11.25,-7.91,0,1,0,Quinnipiac Robert Morris,Robert Morris"
"29,Mid-Eastern Athletic Conference,11,150,201,.427,-12.07,-7.19,0,1,0,Morgan State,Morgan State"
"30,Big South Conference,9,142,137,.509,-12.40,-7.59,0,1,0,Coastal Carolina,Winthrop"
"31,Independent,2,23,34,.404,-13.80,-4.75,0,0,0,,"
"32,Southwest Athletic Conference,10,120,188,.390,-18.01,-11.01,0,1,0,Jackson State,Arkansas-Pine Bluff"
"33,Great West Conference,4,37,89,.294,-18.72,-7.39,0,0,0,South Dakota,South Dakota"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Atlantic Coast Conference,12,255,142,.642,12.49,7.82,5,7,1,North Carolina,Duke"
"2,Pacific-10 Conference,10,205,137,.599,11.90,8.06,3,6,0,Washington,Southern California"
"3,Big East Conference,16,335,214,.610,11.82,7.91,6,7,2,Louisville,Louisville"
"4,Big 12 Conference,12,260,153,.630,11.41,6.66,3,6,0,Kansas,Missouri"
"5,Big Ten Conference,11,232,143,.619,10.85,7.76,2,7,1,Michigan State,Purdue"
"6,Southeastern Conference,12,242,158,.605,8.35,4.56,1,3,0,South Carolina (East) Tennessee (East) Louisiana State (West),Mississippi State"
"7,Mountain West Conference,9,170,125,.576,6.45,4.03,1,2,0,Brigham Young New Mexico Utah,Utah"
"8,Conference USA,12,217,178,.549,3.76,2.87,1,1,0,Memphis,Memphis"
"9,Atlantic 10 Conference,14,244,206,.542,2.75,1.83,1,3,0,Xavier,Temple"
"10,Missouri Valley Conference,10,181,150,.547,2.49,1.95,0,1,0,Creighton Northern Iowa,Northern Iowa"
"11,Horizon League,10,168,152,.525,0.30,0.81,1,2,0,Butler,Cleveland State"
"12,Western Athletic Conference,9,158,135,.539,0.30,0.02,0,1,0,Utah State,Utah State"
"13,West Coast Conference,8,130,129,.502,-0.31,1.37,1,1,0,Gonzaga,Gonzaga"
"14,Colonial Athletic Association,12,201,190,.514,-2.26,-1.78,0,1,0,Virginia Commonwealth,Virginia Commonwealth"
"15,Metro Atlantic Athletic Conference,10,161,160,.502,-2.57,-1.80,0,1,0,Siena,Siena"
"16,Atlantic Sun Conference,7,122,100,.550,-2.76,-1.27,0,1,0,Jacksonville,East Tennessee State"
"17,Big West Conference,9,133,146,.477,-2.90,-1.63,0,1,0,Cal State Northridge,Cal State Northridge"
"18,Mid-American Conference,12,175,210,.455,-3.60,-2.07,0,1,0,Bowling Green State (East) Buffalo (East) Ball State (West) Central Michigan (West) Western Michigan (West),Akron"
"19,Summit League,10,142,173,.451,-3.74,-1.79,0,1,0,North Dakota State,North Dakota State"
"20,Sun Belt Conference,13,203,207,.495,-4.69,-3.15,0,1,0,Western Kentucky (East) Little Rock (West),Western Kentucky"
"21,Southland Conference,11,179,159,.530,-4.82,-3.10,0,1,0,Stephen F. Austin (East) Sam Houston State (West),Stephen F. Austin"
"22,Big Sky Conference,9,124,150,.453,-5.10,-2.31,0,1,0,Weber State,Portland State"
"23,America East Conference,9,140,141,.498,-6.16,-4.72,0,1,0,Binghamton Vermont,Binghamton"
"24,Ohio Valley Conference,10,148,163,.476,-6.37,-4.47,0,1,0,Tennessee-Martin,Morehead State"
"25,Southern Conference,12,183,201,.477,-7.69,-4.83,0,1,0,Chattanooga (North) Western Carolina (North) Davidson (South),Chattanooga"
"26,Ivy Group,8,101,125,.447,-7.92,-5.46,0,1,0,Cornell,"
"27,Patriot League,8,112,131,.461,-8.29,-6.41,0,1,0,American,American"
"28,Big South Conference,9,136,145,.484,-9.25,-5.49,0,1,0,Radford,Radford"
"29,Northeast Conference,11,151,189,.444,-9.47,-6.76,0,1,0,Robert Morris,Robert Morris"
"30,Independent,4,61,58,.513,-11.25,-3.80,0,0,0,,"
"31,Mid-Eastern Athletic Conference,11,148,202,.423,-12.97,-7.42,0,1,0,Morgan State,Morgan State"
"32,Southwest Athletic Conference,10,112,199,.360,-16.45,-9.49,0,1,0,Alabama State,Alabama State"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Big 12 Conference,12,253,154,.622,12.36,7.41,2,6,1,Kansas Texas,Kansas"
"2,Atlantic Coast Conference,12,248,153,.618,12.32,7.97,3,4,1,North Carolina,North Carolina"
"3,Pacific-10 Conference,10,207,133,.609,11.70,7.75,3,6,1,UCLA,UCLA"
"4,Big East Conference,16,315,217,.592,10.89,7.45,6,8,0,Georgetown,Pittsburgh"
"5,Southeastern Conference,12,244,157,.608,9.92,6.08,2,6,0,Tennessee (East) Mississippi State (West),Georgia"
"6,Big Ten Conference,11,214,156,.578,9.90,6.80,3,4,0,Wisconsin,Wisconsin"
"7,Missouri Valley Conference,10,184,145,.559,5.36,3.82,1,1,0,Drake,Drake"
"8,Atlantic 10 Conference,14,254,197,.563,4.97,3.32,1,3,0,Xavier,Temple"
"9,Mountain West Conference,9,165,126,.567,3.96,1.95,0,2,0,Brigham Young,Nevada-Las Vegas"
"10,Conference USA,12,221,175,.558,3.46,2.34,1,1,1,Memphis,Memphis"
"11,Horizon League,10,169,150,.530,0.68,1.38,1,1,0,Butler,Butler"
"12,Mid-American Conference,12,183,195,.484,-0.78,0.51,0,1,0,Kent State (East) Western Michigan (West),Kent State"
"13,West Coast Conference,8,122,135,.475,-1.47,0.09,1,3,0,Gonzaga,San Diego"
"14,Colonial Athletic Association,12,189,192,.496,-2.62,-2.05,0,1,0,Virginia Commonwealth,George Mason"
"15,Sun Belt Conference,13,213,196,.521,-2.77,-1.74,0,2,0,South Alabama (East) Western Kentucky (East) Little Rock (West) Louisiana (West),Western Kentucky"
"16,Southern Conference,11,173,177,.494,-3.34,-1.47,1,1,0,Appalachian State (North) Chattanooga (North) Davidson (South),Davidson"
"17,Western Athletic Conference,9,142,148,.490,-3.45,-1.83,0,1,0,Boise State Nevada New Mexico State Utah State,Boise State"
"18,Summit League,8,124,127,.494,-3.65,-1.04,0,1,0,Oral Roberts,Oral Roberts"
"19,Metro Atlantic Athletic Conference,10,152,164,.481,-4.24,-3.16,0,1,0,Rider Siena,Siena"
"20,Big West Conference,9,142,140,.504,-4.58,-2.82,0,1,0,Cal State Fullerton Cal State Northridge UC-Santa Barbara,Cal State Fullerton"
"21,Patriot League,8,125,119,.512,-5.48,-4.97,0,1,0,American,American"
"22,Southland Conference,11,179,158,.531,-6.28,-4.02,0,1,0,Lamar (East) Stephen F. Austin (West),Texas-Arlington"
"23,Big Sky Conference,9,129,144,.473,-6.43,-3.33,0,1,0,Portland State,Portland State"
"24,Atlantic Sun Conference,8,130,122,.516,-6.82,-4.43,0,1,0,Belmont,Belmont"
"25,Big South Conference,8,125,122,.506,-7.64,-4.85,0,1,0,North Carolina-Asheville Winthrop,Winthrop"
"26,America East Conference,9,124,154,.446,-7.65,-5.54,0,1,0,Maryland-Baltimore County,Maryland-Baltimore County"
"27,Ivy Group,8,105,127,.453,-7.75,-4.86,0,1,0,Cornell,"
"28,Northeast Conference,11,158,180,.467,-8.04,-6.18,0,1,0,Robert Morris,Mount St. Mary's"
"29,Ohio Valley Conference,11,156,186,.456,-9.69,-6.77,0,1,0,Austin Peay,Austin Peay"
"30,Independent,4,51,70,.421,-14.03,-3.29,0,0,0,,"
"31,Mid-Eastern Athletic Conference,11,150,203,.425,-14.32,-8.27,0,1,0,Morgan State,Coppin State"
"32,Southwest Athletic Conference,10,118,189,.384,-17.80,-11.23,0,1,0,Alabama State Mississippi Valley State,Mississippi Valley State"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Atlantic Coast Conference,12,256,150,.631,14.34,8.62,2,7,0,North Carolina Virginia,North Carolina"
"2,Southeastern Conference,12,253,153,.623,12.94,7.92,2,5,1,Florida (East) Mississippi State (West),Florida"
"3,Big Ten Conference,11,226,143,.612,11.95,7.59,2,6,1,Ohio State,Ohio State"
"4,Pacific-10 Conference,10,202,131,.607,11.26,7.92,4,6,1,UCLA,Oregon"
"5,Big East Conference,16,321,202,.614,11.14,6.84,5,6,1,Georgetown,Georgetown"
"6,Big 12 Conference,12,239,153,.610,10.25,5.93,3,4,0,Kansas,Kansas"
"7,Missouri Valley Conference,10,189,135,.583,8.58,5.99,1,2,0,Southern Illinois,Creighton"
"8,Mountain West Conference,9,176,117,.601,6.30,3.76,2,2,0,Brigham Young,Nevada-Las Vegas"
"9,Conference USA,12,208,172,.547,2.70,1.33,1,1,0,Memphis,Memphis"
"10,Western Athletic Conference,9,153,135,.531,1.04,0.84,1,2,0,Nevada,New Mexico State"
"11,Atlantic 10 Conference,14,227,209,.521,1.01,1.11,0,2,0,Massachusetts Xavier,George Washington"
"12,Horizon League,9,149,140,.516,0.30,1.16,1,2,0,Butler Wright State,Wright State"
"13,West Coast Conference,8,122,132,.480,-0.07,1.13,0,1,0,Gonzaga,Gonzaga"
"14,Mid-American Conference,12,186,194,.489,-0.39,0.33,0,1,0,Akron (East) Toledo (West),Miami (OH)"
"15,Colonial Athletic Association,12,188,192,.495,-1.30,-0.47,0,2,0,Virginia Commonwealth,Virginia Commonwealth"
"16,Big West Conference,8,129,118,.522,-4.14,-2.74,0,1,0,Long Beach State,Long Beach State"
"17,Mid-Continent Conference,8,118,133,.470,-4.36,-2.48,0,1,0,Oral Roberts,Oral Roberts"
"18,Southern Conference,11,172,174,.497,-4.70,-2.20,0,1,0,Appalachian State (North) Davidson (South),Davidson"
"19,Patriot League,8,123,123,.500,-5.68,-3.68,0,1,0,Bucknell Holy Cross,Holy Cross"
"20,Ivy Group,8,111,115,.491,-6.13,-4.40,0,1,0,Pennsylvania,"
"21,Big South Conference,8,122,129,.486,-6.24,-3.76,1,1,0,Winthrop,Winthrop"
"22,Metro Atlantic Athletic Conference,10,147,169,.465,-6.48,-4.58,0,1,0,Marist,Niagara"
"23,Big Sky Conference,8,123,121,.504,-6.64,-3.22,0,1,0,Northern Arizona Weber State,Weber State"
"24,America East Conference,9,129,147,.467,-7.29,-5.42,0,1,0,Vermont,Albany (NY)"
"25,Sun Belt Conference,13,197,209,.485,-8.04,-5.18,0,1,0,South Alabama (East) Arkansas State (West) Louisiana-Monroe (West),North Texas"
"26,Atlantic Sun Conference,8,127,122,.510,-8.15,-4.35,0,1,0,East Tennessee State,Belmont"
"27,Southland Conference,11,162,175,.481,-8.40,-4.84,0,1,0,Northwestern State (East) Texas A&M-Corpus Christi (West),Texas A&M-Corpus Christi"
"28,Ohio Valley Conference,11,155,189,.451,-8.98,-5.99,0,1,0,Austin Peay,Eastern Kentucky"
"29,Northeast Conference,11,146,187,.438,-9.23,-6.75,0,1,0,Central Connecticut State,Central Connecticut State"
"30,Independent,4,47,70,.402,-10.57,-1.86,0,0,0,,"
"31,Mid-Eastern Athletic Conference,11,143,204,.412,-14.23,-8.65,0,1,0,Delaware State,Florida A&M"
"32,Southwest Athletic Conference,10,126,182,.409,-18.76,-11.43,0,1,0,Jackson State Mississippi Valley State,Jackson State"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Atlantic Coast Conference,12,238,147,.618,11.53,6.40,3,4,0,Duke,Duke"
"2,Big East Conference,16,309,194,.614,11.23,7.13,6,8,0,Connecticut Villanova,Syracuse"
"3,Southeastern Conference,12,240,149,.617,11.01,6.96,3,6,2,Tennessee (East) Louisiana State (West),Florida"
"4,Pacific-10 Conference,10,181,135,.573,10.43,7.55,2,4,1,UCLA,UCLA"
"5,Big 12 Conference,12,215,146,.596,10.39,6.84,3,4,0,Kansas Texas,Kansas"
"6,Big Ten Conference,11,213,133,.616,10.32,6.66,3,6,0,Ohio State,Iowa"
"7,Missouri Valley Conference,10,179,133,.574,6.60,4.68,0,4,0,Wichita State,Southern Illinois"
"8,Mountain West Conference,9,152,124,.551,5.02,3.53,0,2,0,San Diego State,San Diego State"
"9,Atlantic 10 Conference,14,218,201,.520,2.66,1.93,1,2,0,George Washington,Xavier"
"10,Western Athletic Conference,9,142,131,.520,2.11,2.23,1,2,0,Nevada,Nevada"
"11,West Coast Conference,8,118,117,.502,1.87,2.63,1,1,0,Gonzaga,Gonzaga"
"12,Colonial Athletic Association,12,196,172,.533,0.82,0.35,0,2,1,George Mason North Carolina-Wilmington,North Carolina-Wilmington"
"13,Conference USA,12,191,169,.531,0.31,0.29,2,2,0,Memphis,Memphis"
"14,Mid-American Conference,12,185,177,.511,-0.99,-0.42,0,1,0,Kent State (East) Northern Illinois (West),Kent State"
"15,Horizon League,9,138,134,.507,-1.47,-0.33,0,1,0,Milwaukee,Milwaukee"
"16,Metro Atlantic Athletic Conference,10,146,147,.498,-1.74,-1.08,0,1,0,Manhattan,Iona"
"17,Big Sky Conference,8,125,110,.532,-2.08,-1.15,0,1,0,Northern Arizona,Montana"
"18,Sun Belt Conference,11,164,159,.508,-2.39,-1.27,0,1,0,Western Kentucky (East) South Alabama (West),South Alabama"
"19,Big West Conference,8,115,119,.491,-3.03,-1.54,0,1,0,Pacific,Pacific"
"20,Southland Conference,11,159,162,.495,-5.97,-3.51,0,1,0,Northwestern State,Northwestern State"
"21,Mid-Continent Conference,9,114,149,.433,-7.02,-3.69,0,1,0,IUPUI Oral Roberts,Oral Roberts"
"22,Ivy Group,8,100,121,.452,-7.23,-5.08,0,1,0,Pennsylvania,"
"23,Patriot League,8,114,122,.483,-7.23,-4.63,0,1,0,Bucknell,Bucknell"
"24,America East Conference,9,113,148,.433,-7.40,-4.90,0,1,0,Albany (NY),Albany (NY)"
"25,Northeast Conference,11,147,173,.459,-7.50,-5.72,0,1,0,Fairleigh Dickinson,Monmouth"
"26,Southern Conference,11,166,163,.505,-7.57,-4.96,0,1,0,Elon (North) Georgia Southern (South),Davidson"
"27,Ohio Valley Conference,11,153,167,.478,-7.83,-5.40,0,1,0,Murray State,Murray State"
"28,Big South Conference,9,130,131,.498,-8.92,-6.13,0,1,0,Winthrop,Winthrop"
"29,Atlantic Sun Conference,9,122,141,.464,-10.96,-8.01,0,1,0,Belmont Lipscomb,Belmont"
"30,Southwest Athletic Conference,10,117,175,.401,-14.16,-8.85,0,1,0,Southern,Southern"
"31,Mid-Eastern Athletic Conference,11,129,207,.384,-14.58,-8.87,0,1,0,Delaware State,Hampton"
"32,Independent,4,39,78,.333,-14.84,-2.48,0,0,0,,"
"Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ"
"1,Atlantic Coast Conference,11,221,132,.626,14.50,9.08,4,5,1,North Carolina,Duke"
"2,Big 12 Conference,12,226,144,.611,12.26,7.96,4,6,0,Kansas Oklahoma,Oklahoma State"
"3,Big East Conference,12,224,143,.610,11.42,7.21,4,6,0,Boston College Connecticut,Syracuse"
"4,Big Ten Conference,11,207,145,.588,11.35,8.26,3,5,2,Illinois,Illinois"
"5,Southeastern Conference,12,227,153,.597,11.05,6.81,3,5,0,Kentucky (East) Alabama (West) Louisiana State (West),Florida"
"6,Pacific-10 Conference,10,181,128,.586,8.81,6.72,2,4,0,Arizona,Washington"
"7,Missouri Valley Conference,10,177,134,.569,6.18,4.29,0,3,0,Southern Illinois,Creighton"
"8,Conference USA,14,254,190,.572,6.17,4.19,2,4,1,Louisville,Louisville"
"9,Mountain West Conference,8,136,108,.557,6.02,4.29,1,2,0,Utah,New Mexico"
"10,West Coast Conference,8,142,103,.580,3.63,2.43,1,2,0,Gonzaga,Gonzaga"
"11,Mid-American Conference,13,210,180,.538,2.91,2.45,0,1,0,Miami (OH) (East) Toledo (West) Western Michigan (West),Ohio"
"12,Western Athletic Conference,10,162,144,.529,2.50,1.72,0,2,0,Nevada,Texas-El Paso"
"13,Atlantic 10 Conference,12,166,189,.468,0.17,1.51,0,1,0,Saint Joseph's (East) George Washington (West),George Washington"
"14,Sun Belt Conference,11,171,156,.523,-0.95,-0.10,0,1,0,Little Rock (East) Denver (West),Louisiana"
"15,Horizon League,9,127,134,.487,-1.03,0.42,0,1,0,Milwaukee,Milwaukee"
"16,Big West Conference,10,149,150,.498,-1.76,-0.78,1,2,0,Pacific,Utah State"
"17,Colonial Athletic Association,10,150,150,.500,-3.17,-2.48,0,1,0,Old Dominion,Old Dominion"
"18,America East Conference,10,145,147,.497,-4.80,-3.92,0,1,0,Vermont,Vermont"
"19,Mid-Continent Conference,9,121,143,.458,-4.89,-1.66,0,1,0,Oral Roberts,Oakland"
"20,Metro Atlantic Athletic Conference,10,133,160,.454,-4.94,-3.64,0,1,0,Niagara Rider,Niagara"
"21,Ivy Group,8,105,115,.477,-5.38,-4.11,0,1,0,Pennsylvania,"
"22,Southern Conference,12,183,174,.513,-5.97,-3.73,0,1,0,Chattanooga (North) Davidson (South),Chattanooga"
