,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
532,Sean Lampley,SR,2001,F,University of California,Pac-10,31,34.613,6.742000000000001,13.419,6.516,12.355,0.226,1.065,5.806,7.871,1.484,5.742000000000001,7.226,3.29,0.935,0.452,3.613,2.548,19.516,27.17,0.51,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2001.0,2.0,45.0,CHI,2.0,45.0,0.0
1432,Jamal Sampson,FR,2002,F,University of California,Pac-10,32,24.906,2.438,5.718999999999999,2.438,5.718999999999999,0.0,0.0,1.5619999999999998,2.969,2.469,4.062,6.531000000000001,1.188,0.469,1.6880000000000002,1.656,2.656,6.438,17.35,0.426,2.5,,,,,,,,,,,2002.0,2.0,47.0,UTA,2.0,47.0,0.0
2533,Troy Bell,SR,2003,G,Boston College,Big East,31,38.645,7.226,16.387,3.806,7.871,3.4189999999999996,8.516,7.3229999999999995,8.645,1.548,3.032,4.581,3.71,2.258,0.19399999999999998,2.548,2.129,25.194000000000003,34.15,0.465,3.7,,,,,,,,,,,2003.0,1.0,16.0,BOS,1.0,16.0,0.0
7390,Craig Smith,SR,2006,F,Boston College,ACC,36,36.25,6.75,11.777999999999999,6.722,11.444,0.027999999999999997,0.33299999999999996,4.056,6.306,3.111,6.306,9.417,3.028,1.222,0.8059999999999999,2.472,2.972,17.583,27.5,0.51,4.7,,,,,,,,,,,2006.0,2.0,36.0,MIN,2.0,36.0,0.0
7991,Leon Powe,SO,2006,F,University of California,Pac-10,27,35.296,6.593,13.296,6.481,12.963,0.111,0.33299999999999996,7.185,10.0,3.2960000000000003,6.815,10.111,1.4069999999999998,0.889,0.556,2.444,2.481,20.480999999999998,30.39,0.488,3.2,,,,,,,,,,,2006.0,2.0,49.0,DEN,2.0,49.0,0.0
8954,Jared Dudley,SR,2007,F,Boston College,ACC,30,38.4,6.5,11.567,5.2,8.633,1.3,2.9330000000000003,4.7330000000000005,6.367000000000001,3.033,5.233,8.267000000000001,3.0,1.4,0.33299999999999996,2.6,2.2,19.033,27.37,0.496,4.3,,,,,,,,,,,2007.0,1.0,22.0,CHA,1.0,22.0,0.0
9720,DeVon Hardin,SR,2008,C,University of California,Pac-10,30,23.8,3.267,5.9,3.267,5.9,0.0,0.0,2.8,4.4,1.8,5.567,7.367000000000001,0.667,0.5670000000000001,1.2329999999999999,1.433,2.467,9.333,22.79,0.505,1.1,,,,,,,,,,,2008.0,2.0,50.0,SEA,2.0,50.0,0.0
14936,Reggie Jackson,JR,2011,G,Boston College,ACC,34,34.147,6.441,12.794,4.353,7.824,2.088,4.971,3.2060000000000004,4.029,1.0290000000000001,3.265,4.294,4.471,1.0590000000000002,0.529,2.3819999999999997,1.706,18.176,28.35,0.457,0.6,,,,,,,,,,,2011.0,1.0,24.0,OKC,1.0,24.0,0.0
15270,Andrew Goudelock,SR,2011,G,College of Charleston,Southern,37,35.189,8.595,18.892,5.053999999999999,10.189,3.5410000000000004,8.703,2.9730000000000003,3.622,0.6759999999999999,3.1889999999999996,3.865,4.243,0.892,0.18899999999999997,3.216,1.784,23.703000000000003,31.89,0.568,3.0,,,,,,,,,,,2011.0,2.0,46.0,LAL,2.0,46.0,0.0
17804,Allen Crabbe,JR,2013,G,University of California,Pac-12,33,36.211999999999996,6.515,14.182,4.5760000000000005,8.606,1.939,5.5760000000000005,3.424,4.212,1.0,5.061,6.061,2.636,1.121,0.6970000000000001,2.515,2.0909999999999997,18.394000000000002,25.77,0.545,3.4,,,,,,,,,,,2013.0,2.0,31.0,CLE,2.0,31.0,0.0
21696,Olivier Hanlan,JR,2015,G,Boston College,ACC,32,37.625,7.031000000000001,15.5,5.0,9.75,2.031,5.75,3.438,4.531000000000001,0.75,3.469,4.218999999999999,4.218999999999999,1.281,0.031,2.656,2.125,19.531,25.99,0.527,3.5,,,,,,,,,,,2015.0,2.0,42.0,UTA,2.0,42.0,0.0
22273,Tyrone Wallace,SR,2016,G,University of California,Pac-12,28,32.179,5.393,12.25,4.5,9.25,0.893,3.0,3.571,5.5,0.9640000000000001,4.321000000000001,5.2860000000000005,4.393,0.9640000000000001,0.429,2.6430000000000002,2.25,15.25,25.15,0.385,1.3,,,,,,,,,,,2016.0,2.0,60.0,UTA,2.0,60.0,0.0
22974,Jaylen Brown,FR,2016,F,University of California,Pac-12,34,27.618000000000002,4.794,11.118,3.912,8.118,0.882,3.0,4.176,6.382000000000001,1.0590000000000002,4.294,5.353,2.0,0.794,0.647,3.088,3.176,14.647,24.11,0.47100000000000003,2.7,,,,,,,,,,,2016.0,1.0,3.0,BOS,1.0,3.0,0.0
23592,Ivan Rabb,SO,2017,F,University of California,Pac-12,31,32.645,4.871,10.065,4.613,9.419,0.258,0.645,4.0,6.032,3.032,7.419,10.452,1.548,0.677,1.0,2.161,3.097,14.0,24.49,0.49700000000000005,4.6,,,,,,,,,,,2017.0,2.0,35.0,ORL,2.0,35.0,0.0
24719,Jabari Bird,SR,2017,G,University of California,Pac-12,27,31.963,5.185,11.777999999999999,2.778,5.185,2.407,6.593,1.556,2.037,0.963,3.741,4.704,1.037,0.667,0.222,1.8519999999999999,1.926,14.333,21.16,0.493,1.3,,,,,,,,,,,2017.0,2.0,56.0,BOS,2.0,56.0,0.0
26017,Jerome Robinson,JR,2018,G,Boston College,ACC,35,36.0,7.114,14.657,4.8,9.0,2.314,5.657,4.171,5.029,0.486,3.114,3.6,3.3139999999999996,0.857,0.14300000000000002,2.7430000000000003,2.5140000000000002,20.714000000000002,26.62,0.47700000000000004,2.1,,,,,,,,,,,2018.0,1.0,13.0,LAC,1.0,13.0,0.0
26945,Alize Johnson,SR,2018,F,Missouri State,MVC,33,31.151999999999997,5.212000000000001,12.120999999999999,3.97,7.697,1.242,4.4239999999999995,3.333,4.394,3.1519999999999997,8.485,11.636,2.8480000000000003,0.455,0.424,2.242,2.0909999999999997,15.0,28.62,0.546,4.6,,,,,,,,,,,2018.0,2.0,50.0,IND,2.0,50.0,0.0
30490,Jarrell Brantley,SR,2019,F,College of Charleston,CAA,33,33.97,7.182,13.879000000000001,6.03,10.364,1.1520000000000001,3.515,3.8789999999999996,4.939,1.7269999999999999,6.667000000000001,8.394,2.424,1.3940000000000001,0.879,2.576,2.697,19.394000000000002,30.17,0.484,3.0,,,,,,,,,,,2019.0,2.0,50.0,IND,2.0,50.0,0.0
