,Player,Class,Season,Pos,School,Conf,Year Drafted,Rd,Pk,Tm,Projected Pk
21844,Marcus Paige,SR,2016,G,North Carolina,ACC,2016,2,55,BRK,27.0
21852,Tony Parker,SR,2016,F,UCLA,Pac-12,2001,1,28,SAS,33.0
21865,Chinanu Onuaku,SO,2016,F,Louisville,ACC,2016,2,37,HOU,21.0
21880,Jamal Murray,FR,2016,G,Kentucky,SEC,2016,1,7,DEN,17.0
21881,Dejounte Murray,FR,2016,G,Washington,Pac-12,2016,1,29,SAS,29.0
21887,Abdel Nader,SR,2016,F,Iowa State,Big 12,2016,2,58,BOS,38.0
21908,Georges Niang,SR,2016,F,Iowa State,Big 12,2016,2,50,IND,10.0
21962,Malachi Richardson,FR,2016,G,Syracuse,ACC,2016,1,22,CHO,36.0
22122,Jake Layman,SR,2016,F,Maryland,Big Ten,2016,2,47,ORL,35.0
22141,Caris LeVert,SR,2016,G,Michigan,Big Ten,2016,1,20,IND,30.0
22200,Patrick McCaw,SO,2016,G,Nevada-Las Vegas,MWC,2016,2,38,MIL,33.0
22242,Denzel Valentine,SR,2016,G,Michigan State,Big Ten,2016,1,14,CHI,26.0
22275,Tyrone Wallace,SR,2016,G,University of California,Pac-12,2016,2,60,UTA,26.0
22277,Tyler Ulis,SO,2016,G,Kentucky,SEC,2016,2,34,PHO,20.0
22381,James White,SR,2016,G,Georgia Tech,ACC,2006,2,31,POR,33.0
22391,Earl Watson,SR,2016,C,Rhode Island,A-10,2001,2,40,SEA,29.0
22410,Isaiah Whitehead,SO,2016,G,Seton Hall,Big East,2016,2,42,UTA,31.0
22444,Ben Simmons,FR,2016,F,Louisiana State,SEC,2016,1,1,PHI,13.0
22448,Pascal Siakam,SO,2016,F,New Mexico State,WAC,2016,1,27,TOR,15.0
22491,Domantas Sabonis,SO,2016,F,Gonzaga,WCC,2016,1,11,ORL,22.0
22533,Diamond Stone,FR,2016,C,Maryland,Big Ten,2016,2,40,NOP,18.0
22561,Josh Smith,SR,2016,F,Clemson,ACC,2004,1,17,ATL,29.0
22622,Marquese Chriss,FR,2016,F,Washington,Pac-12,2016,1,8,SAC,14.0
22722,Cheick Diallo,FR,2016,F,Kansas,Big 12,2016,2,33,LAC,27.0
22790,Isaiah Cousins,SR,2016,G,Oklahoma,Big 12,2016,2,59,SAC,43.0
22793,Deyonta Davis,FR,2016,F,Michigan State,Big Ten,2016,2,31,BOS,18.0
22855,Malik Beasley,FR,2016,G,Florida State,ACC,2016,1,19,DEN,31.0
22865,Wade Baldwin,SO,2016,G,Vanderbilt,SEC,2016,1,17,MEM,16.0
22913,Ryan Anderson,SR,2016,F,Arizona,Pac-12,2008,1,21,NJN,35.0
22939,Malcolm Brogdon,SR,2016,G,Virginia,ACC,2016,2,36,MIL,29.0
22968,Anthony Brown,FR,2016,G,Green Bay,Horizon,2015,2,34,LAL,22.0
22976,Jaylen Brown,FR,2016,F,University of California,Pac-12,2016,1,3,BOS,23.0
23005,Ben Bentil,SO,2016,F,Providence,Big East,2016,2,51,BOS,33.0
23015,Jonah Bolden,SO,2016,F,UCLA,Pac-12,2017,2,36,PHI,31.0
23019,Joel Bolomboy,SR,2016,F,Weber State,Big Sky,2016,2,52,UTA,31.0
23073,Demetrius Jackson,JR,2016,G,Notre Dame,ACC,2016,2,45,BOS,35.0
23095,Brandon Ingram,FR,2016,G,Duke,ACC,2016,1,2,LAL,27.0
23141,Buddy Hield,SR,2016,G,Oklahoma,Big 12,2016,1,6,NOP,12.0
23202,Brice Johnson,SR,2016,F,North Carolina,ACC,2016,1,25,LAC,25.0
23221,Wesley Johnson,SO,2016,F,Charleston Southern,Big South,2010,1,4,MIN,30.0
23228,Damian Jones,JR,2016,C,Vanderbilt,SEC,2016,1,30,GSW,9.0
23255,Kay Felder,JR,2016,G,Oakland,Horizon,2016,2,54,ATL,18.0
23314,Kris Dunn,JR,2016,G,Providence,Big East,2016,1,5,MIN,30.0
23345,Henry Ellenson,FR,2016,F,Marquette,Big East,2016,1,18,DET,31.0
23390,Daniel Hamilton,SO,2016,G,Connecticut,AAC,2016,2,56,DEN,32.0
23400,A.J. Hammons,SR,2016,C,Purdue,Big Ten,2016,2,46,DAL,16.0
23415,Michael Gbinije,SR,2016,F,Syracuse,ACC,2016,2,49,DET,40.0
23510,Semi Ojeleye,JR,2017,F,Southern Methodist,AAC,2017,2,37,BOS,43.0
23537,Monte Morris,SR,2017,G,Iowa State,Big 12,2017,2,51,DEN,32.0
23594,Ivan Rabb,SO,2017,F,University of California,Pac-12,2017,2,35,ORL,24.0
23612,Davon Reed,SR,2017,G,Miami (FL),ACC,2017,2,32,PHO,40.0
23626,Alec Peters,SR,2017,F,Valparaiso,Horizon,2017,2,54,PHO,38.0
23640,Justin Patton,FR,2017,C,Creighton,Big East,2017,1,16,CHI,22.0
23686,Tyler Lydon,SO,2017,F,Syracuse,ACC,2017,1,24,UTA,33.0
23724,Lauri Markkanen,FR,2017,F,Arizona,Pac-12,2017,1,7,MIN,22.0
23753,Kyle Kuzma,JR,2017,F,Utah,Pac-12,2017,1,27,BRK,38.0
23810,De'Anthony Melton,FR,2017,G,Southern California,Pac-12,2018,2,46,HOU,21.0
23816,Malik Monk,FR,2017,G,Kentucky,SEC,2017,1,11,CHO,16.0
23861,Frank Mason,SR,2017,G,Kansas,Big 12,2017,2,34,SAC,17.0
23962,Sindarius Thornwell,SR,2017,G,South Carolina,SEC,2017,2,48,MIL,37.0
24034,Nigel Williams-Goss,JR,2017,G,Gonzaga,WCC,2017,2,55,UTA,35.0
24037,D.J. Wilson,JR,2017,F,Michigan,Big Ten,2017,1,17,MIL,31.0
24070,Derrick White,SR,2017,G,Colorado,Pac-12,2017,1,29,SAS,11.0
24220,Caleb Swanigan,SO,2017,F,Purdue,Big Ten,2017,1,26,POR,16.0
24224,Edmond Sumner,SO,2017,G,Xavier,Big East,2017,2,52,NOP,25.0
24258,Jayson Tatum,FR,2017,F,Duke,ACC,2017,1,3,BOS,20.0
24347,Zach Collins,FR,2017,F,Gonzaga,WCC,2017,1,10,SAC,6.0
24349,John Collins,SO,2017,F,Wake Forest,ACC,2017,1,19,ATL,27.0
24480,Damyean Dotson,SR,2017,G,Houston,AAC,2017,2,44,NYK,44.0
24482,Tyler Dorsey,SO,2017,G,Oregon,Pac-12,2017,2,41,ATL,27.0
24542,Dwayne Bacon,SO,2017,G,Florida State,ACC,2017,2,40,NOP,32.0
24547,Lonzo Ball,FR,2017,G,UCLA,Pac-12,2017,1,2,LAL,8.0
24570,OG Anunoby,SO,2017,F,Indiana,Big Ten,2017,1,23,TOR,27.0
24626,Bam Adebayo,FR,2017,F,Kentucky,SEC,2017,1,14,MIA,18.0
24635,Ike Anigbogu,FR,2017,F,UCLA,Pac-12,2017,2,47,IND,26.0
24643,Kadeem Allen,SR,2017,G,Arizona,Pac-12,2017,2,53,BOS,29.0
24646,Jarrett Allen,FR,2017,F,Texas,Big 12,2017,1,22,BRK,30.0
24680,Tony Bradley,FR,2017,F,North Carolina,ACC,2017,1,28,LAL,23.0
24684,Dillon Brooks,JR,2017,F,Oregon,Pac-12,2017,2,45,HOU,16.0
24689,Sterling Brown,SR,2017,G,Southern Methodist,AAC,2017,2,46,PHI,38.0
24696,Thomas Bryant,SO,2017,C,Indiana,Big Ten,2017,2,42,UTA,18.0
24721,Jabari Bird,SR,2017,G,University of California,Pac-12,2017,2,56,BOS,38.0
24759,Jaron Blossomgame,SR,2017,F,Clemson,ACC,2017,2,59,SAS,29.0
24791,Frank Jackson,FR,2017,G,Duke,ACC,2017,2,31,CHO,28.0
24792,Josh Jackson,FR,2017,G,Kansas,Big 12,2017,1,4,PHO,25.0
24804,Wesley Iwundu,SR,2017,F,Kansas State,Big 12,2017,2,33,ORL,39.0
24808,Jonathan Isaac,FR,2017,F,Florida State,ACC,2017,1,6,ORL,27.0
24879,Luke Kennard,SO,2017,G,Duke,ACC,2017,1,12,DET,29.0
24923,JaJuan Johnson,SR,2017,G,Marquette,Big East,2011,1,27,NJN,31.0
24932,Maurice Jeffers,SR,2017,F,Boston College,ACC,2001,2,55,SAC,37.0
24939,James Jones,FR,2017,G,Buffalo,MAC,2003,2,49,IND,33.0
24954,Josh Hart,SR,2017,G,Villanova,Big East,2017,1,30,UTA,24.0
24979,De'Aaron Fox,FR,2017,G,Kentucky,SEC,2017,1,5,SAC,12.0
24999,Markelle Fultz,FR,2017,G,Washington,Pac-12,2017,1,1,PHI,16.0
25075,Jawun Evans,SO,2017,G,Oklahoma State,Big 12,2017,2,39,PHI,21.0
25135,Harry Giles,FR,2017,F,Duke,ACC,2017,1,20,POR,26.0
25224,Josh Okogie,SO,2018,G,Georgia Tech,ACC,2018,1,20,MIN,28.0
25243,Sviatoslav Mykhailiuk,SR,2018,G,Kansas,Big 12,2018,2,47,LAL,44.0
25511,Kevin Knox,FR,2018,F,Kentucky,SEC,2018,1,9,NYK,35.0
25569,Chimezie Metu,JR,2018,F,Southern California,Pac-12,2018,2,49,SAS,28.0
25587,Jordan McRae,JR,2018,F,Binghamton,AEC,2014,2,58,SAS,26.0
25613,Donovan Mitchell,SO,2018,F,Wake Forest,ACC,2017,1,13,DEN,46.0
25618,Shake Milton,JR,2018,G,Southern Methodist,AAC,2018,2,54,DAL,25.0
25682,Jarred Vanderbilt,FR,2018,F,Kentucky,SEC,2018,2,41,ORL,35.0
25718,Lonnie Walker,FR,2018,G,Miami (FL),ACC,2018,1,18,SAS,30.0
25748,Moritz Wagner,JR,2018,F,Michigan,Big Ten,2018,1,25,LAL,37.0
25764,Khyri Thomas,JR,2018,G,Creighton,Big East,2018,2,38,PHI,31.0
25846,Robert Williams,SO,2018,F,Texas A&M,SEC,2018,1,27,BOS,32.0
25854,Trae Young,FR,2018,G,Oklahoma,Big 12,2018,1,5,DAL,14.0
25894,Thomas Welsh,SR,2018,C,UCLA,Pac-12,2018,2,58,DEN,40.0
25975,Landry Shamet,SO,2018,G,Wichita State,AAC,2018,1,26,PHI,38.0
25977,Collin Sexton,FR,2018,G,Alabama,SEC,2018,1,8,CLE,16.0
26019,Jerome Robinson,JR,2018,G,Boston College,ACC,2018,1,13,LAC,27.0
26209,Zhaire Smith,FR,2018,G,Texas Tech,Big 12,2018,1,16,PHO,21.0
26213,Omari Spellman,FR,2018,F,Villanova,Big East,2018,1,30,ATL,25.0
26334,Tony Carr,SO,2018,G,Penn State,Big Ten,2018,2,51,NOP,31.0
26354,Jevon Carter,SR,2018,G,West Virginia,Big 12,2018,2,32,MEM,11.0
26368,Donte DiVincenzo,SO,2018,G,Villanova,Big East,2018,1,17,MIL,30.0
26393,Hamidou Diallo,FR,2018,G,Kentucky,SEC,2018,2,45,BRK,26.0
26482,Deandre Ayton,FR,2018,F,Arizona,Pac-12,2018,1,1,PHO,6.0
26513,Keita Bates-Diop,JR,2018,F,Ohio State,Big Ten,2018,2,48,MIN,35.0
26527,Mohamed Bamba,FR,2018,F,Texas,Big 12,2018,1,6,ORL,18.0
26580,Kostas Antetokounmpo,FR,2018,F,Dayton,A-10,2018,2,60,PHI,26.0
26590,Grayson Allen,SR,2018,G,Duke,ACC,2018,1,21,UTA,39.0
26611,Bruce Brown,SO,2018,G,Miami (FL),ACC,2018,2,42,DET,41.0
26615,Miles Bridges,SO,2018,G,Michigan State,Big Ten,2018,1,12,LAC,30.0
26632,Mikal Bridges,JR,2018,G,Villanova,Big East,2018,1,10,PHI,25.0
26651,Jalen Brunson,JR,2018,G,Villanova,Big East,2018,2,33,DAL,-2.0
26664,Troy Brown,FR,2018,F,Oregon,Pac-12,2018,1,15,WAS,37.0
26738,Kevin Huerter,SO,2018,G,Maryland,Big Ten,2018,1,19,ATL,25.0
26774,Justin Jackson,SO,2018,F,Maryland,Big Ten,2017,1,15,POR,41.0
26775,Justin Jackson,SO,2018,F,Maryland,Big Ten,2018,2,43,DEN,41.0
26786,Chandler Hutchison,SR,2018,G,Boise State,MWC,2018,1,22,CHI,29.0
26840,Jordan Hill,SR,2018,G,Seattle,WAC,2009,1,8,NYK,33.0
26843,Aaron Holiday,JR,2018,G,UCLA,Pac-12,2018,1,23,IND,26.0
26853,Dewan Hernandez,SO,2018,F,Miami (FL),ACC,2019,2,59,TOR,30.0
26861,Kevin Hervey,SR,2018,F,Texas-Arlington,Sun Belt,2018,2,57,OKC,34.0
26919,George King,SR,2018,G,Colorado,Pac-12,2018,2,59,PHO,39.0
26948,Alize Johnson,SR,2018,F,Missouri State,MVC,2018,2,50,IND,35.0
27000,Melvin Frazier,JR,2018,G,Tulane,AAC,2018,2,35,ORL,31.0
27062,Jacob Evans,JR,2018,G,Cincinnati,AAC,2018,1,28,GSW,31.0
27072,Vince Edwards,SR,2018,F,Purdue,Big Ten,2018,2,52,UTA,32.0
27141,Devon Hall,SR,2018,G,Virginia,ACC,2018,2,53,OKC,43.0
27152,Devin Harris,SR,2018,G,Jacksonville,A-Sun,2004,1,5,WAS,43.0
27169,Shai Gilgeous-Alexander,FR,2018,G,Kentucky,SEC,2018,1,11,CHO,18.0
27196,Devonte' Graham,SR,2018,G,Kansas,Big 12,2018,2,34,ATL,33.0
27221,Ryan Gomes,SO,2018,C,Mount St. Mary's,NEC,2005,2,50,BOS,28.0
27364,Jaylen Nowell,SO,2019,G,Washington,Pac-12,2019,2,43,MIN,27.0
27495,Ja Morant,SO,2019,G,Murray State,OVC,2019,1,2,MEM,8.0
27545,Jordan Poole,SO,2019,G,Michigan,Big Ten,2019,1,28,GSW,37.0
27712,Chuma Okeke,SO,2019,F,Auburn,SEC,2019,1,16,ORL,33.0
27723,Miye Oni,JR,2019,G,Yale,Ivy,2019,2,58,GSW,24.0
27782,Eric Paschall,SR,2019,F,Villanova,Big East,2019,2,41,GSW,33.0
27941,Romeo Langford,FR,2019,G,Indiana,Big Ten,2019,1,14,BOS,26.0
27956,Nassir Little,FR,2019,F,North Carolina,ACC,2019,1,25,POR,25.0
28145,Jalen McDaniels,SO,2019,F,San Diego State,MWC,2019,2,52,CHO,26.0
28251,Terance Mann,SR,2019,G,Florida State,ACC,2019,2,48,LAC,38.0
28364,Cody Martin,SR,2019,F,Nevada,MWC,2019,2,36,CHO,30.0
28557,Isaiah Thomas,SR,2019,F,Northern Arizona,Big Sky,2011,2,60,SAC,26.0
28667,Matisse Thybulle,SR,2019,G,Washington,Pac-12,2019,1,20,BOS,31.0
28703,Dylan Windler,SR,2019,G,Belmont,OVC,2019,1,26,CLE,31.0
28726,Jordan Williams,SO,2019,G,St. Francis (NY),NEC,2011,2,36,NJN,25.0
28746,Zion Williamson,FR,2019,F,Duke,ACC,2019,1,1,NOP,-29.0
28806,Justin Wright-Foreman,SR,2019,G,Hofstra,CAA,2019,2,53,UTA,32.0
28862,PJ Washington,SO,2019,F,Kentucky,SEC,2019,1,12,CHO,23.0
28875,Tremont Waters,SO,2019,G,Louisiana State,SEC,2019,2,51,BOS,22.0
28892,Quinndary Weatherspoon,SR,2019,G,Mississippi State,SEC,2019,2,49,SAS,29.0
28916,Grant Williams,JR,2019,F,Tennessee,SEC,2019,1,22,BOS,15.0
28939,Coby White,FR,2019,G,North Carolina,ACC,2019,1,7,CHI,24.0
29096,Admiral Schofield,SR,2019,G,Tennessee,SEC,2019,2,42,PHI,33.0
29133,Jason Richardson,JR,2019,G,Southern Utah,Big Sky,2001,1,5,GSW,35.0
29164,Cam Reddish,FR,2019,F,Duke,ACC,2019,1,10,ATL,33.0
29188,Isaiah Roby,JR,2019,F,Nebraska,Big Ten,2019,2,45,DET,37.0
29463,Marial Shayok,SR,2019,G,Iowa State,Big 12,2019,2,54,PHI,32.0
29500,Mike Smith,JR,2019,G,Columbia,Ivy,2000,2,35,WAS,28.0
29571,Brandon Clarke,JR,2019,F,Gonzaga,WCC,2019,1,21,OKC,12.0
29587,Nicolas Claxton,SO,2019,F,Georgia,SEC,2019,2,31,BRK,33.0
30004,Jarrett Culver,SO,2019,G,Texas Tech,Big 12,2019,1,6,PHO,24.0
30193,Brandon Armstrong,JR,2019,G,South Dakota,Summit,2001,1,23,HOU,35.0
30309,Nickeil Alexander-Walker,SO,2019,G,Virginia Tech,ACC,2019,1,17,BRK,32.0
30471,Ignas Brazdeikis,FR,2019,F,Michigan,Big Ten,2019,2,47,SAC,25.0
30493,Jarrell Brantley,SR,2019,F,College of Charleston,CAA,2019,2,50,IND,23.0
30649,Jordan Bell,SO,2019,F,Loyola Marymount,WCC,2017,2,38,CHI,30.0
30659,Bol Bol,FR,2019,C,Oregon,Pac-12,2019,2,44,MIA,26.0
30687,Jordan Bone,JR,2019,G,Tennessee,SEC,2019,2,57,NOP,35.0
30804,De'Andre Hunter,SO,2019,G,Virginia,ACC,2019,1,4,LAL,17.0
30851,Talen Horton-Tucker,FR,2019,G,Iowa State,Big 12,2019,2,46,ORL,27.0
30893,Jaxson Hayes,FR,2019,F,Texas,Big 12,2019,1,8,ATL,11.0
30954,Tyler Herro,FR,2019,G,Kentucky,SEC,2019,1,13,MIA,24.0
30967,Cory Hightower,FR,2019,F,Presbyterian,Big South,2000,2,54,SAS,26.0
31142,Keldon Johnson,FR,2019,G,Kentucky,SEC,2019,1,29,SAS,20.0
31146,Mfiondu Kabengele,SO,2019,F,Florida State,ACC,2019,1,27,BRK,18.0
31181,Justin James,SR,2019,G,Wyoming,MWC,2019,2,40,SAC,39.0
31252,Cameron Johnson,SR,2019,G,North Carolina,ACC,2019,1,11,MIN,29.0
31293,Ty Jerome,JR,2019,G,Virginia,ACC,2019,1,24,PHI,36.0
31406,Daniel Gafford,SO,2019,F,Arkansas,SEC,2019,2,38,CHI,15.0
31433,Bruno Fernando,SO,2019,F,Maryland,Big Ten,2019,2,34,PHI,25.0
31517,Carsen Edwards,JR,2019,G,Purdue,Big Ten,2019,2,33,PHI,36.0
31680,Jaylen Hands,SO,2019,G,UCLA,Pac-12,2019,2,56,LAC,32.0
31712,Rui Hachimura,JR,2019,F,Gonzaga,WCC,2019,1,9,WAS,32.0
31719,Kyle Guy,JR,2019,G,Virginia,ACC,2019,2,55,NYK,36.0
31786,Darius Garland,FR,2019,G,Vanderbilt,SEC,2019,1,5,CLE,34.0
